UID,EMPLOYER_ID,SALARY,SINGUP_TIME,KYC_TIME
1,1,26118,2021-06-04 15:47:28,2021-06-26 18:32:16
2,1,15277,2021-02-10 10:33:57,2021-02-27 16:37:24
3,1,27434,2021-02-02 00:05:03,2021-02-20 13:56:08
4,1,15897,2021-01-13 18:57:05,2021-01-22 19:51:09
5,1,14543,2021-01-21 03:35:33,2021-05-27 13:34:24
6,1,47303,2021-04-17 17:53:58,None
7,1,18077,2021-05-20 02:00:05,2021-05-25 17:48:35
8,1,19594,None,None
9,1,21437,2021-01-15 02:47:38,2021-06-11 10:51:00
10,1,21536,2021-01-22 12:34:06,None
11,1,32832,2021-01-22 01:28:34,2021-02-11 12:46:18
12,1,34700,2021-01-29 03:56:40,2021-02-20 13:31:15
13,1,24120,2021-04-04 19:33:07,2021-04-04 19:48:07
14,1,44875,2021-06-04 02:41:48,None
15,1,26323,2021-06-09 14:43:58,None
16,1,12288,2021-03-16 13:47:53,2021-04-06 14:53:07
17,1,46974,2021-01-05 01:50:05,2021-02-16 15:44:04
18,1,45659,None,None
19,1,10539,2021-05-13 09:34:31,None
20,1,17569,2021-01-21 17:44:29,2021-03-09 15:59:47
21,1,17469,2021-01-22 12:44:52,2021-02-11 12:32:30
22,1,21226,2021-01-17 17:53:12,2021-01-17 18:22:12
23,1,25120,2021-01-17 17:49:26,2021-02-19 18:36:59
24,1,23236,2021-01-05 11:45:31,2021-03-21 16:53:01
25,1,48593,None,None
26,1,10337,2021-01-17 17:59:59,2021-01-24 16:46:13
27,1,21999,2021-01-13 18:33:35,2021-01-15 14:44:11
28,1,34391,2021-02-06 16:30:27,2021-02-06 16:44:27
29,1,44232,2021-02-16 03:32:07,2021-05-05 18:50:43
30,1,20081,None,None
31,1,14463,2021-01-13 18:48:11,2021-01-13 19:03:11
32,1,16435,2021-01-22 12:49:36,2021-01-29 15:59:04
33,1,27148,None,None
34,1,38026,2021-01-13 18:59:31,2021-01-13 19:05:31
35,1,47168,2021-02-22 13:53:23,None
36,1,46311,2021-03-04 01:34:00,2021-04-08 11:32:59
37,1,16305,None,None
38,1,27669,2021-02-06 16:36:58,2021-02-06 17:01:58
39,1,12448,2021-06-04 15:37:52,2021-06-14 19:53:28
40,1,25913,None,None
41,1,49615,None,None
42,1,36171,None,None
43,1,21619,2021-06-09 14:46:12,None
44,1,36661,2021-03-09 03:59:12,2021-03-30 18:59:40
45,1,47946,2021-02-01 17:49:15,2021-04-06 14:44:47
46,1,28815,2021-04-11 02:22:51,None
47,1,36544,None,None
48,1,30224,2021-01-25 03:48:02,2021-01-29 15:42:32
49,1,28802,None,None
50,1,33859,2021-01-02 03:10:41,2021-03-07 09:59:52
51,1,12841,2021-02-04 02:57:41,2021-03-21 16:38:54
52,1,47388,None,None
53,1,18463,None,None
54,1,17112,2021-01-13 18:45:25,2021-05-27 13:53:22
55,1,32183,2021-02-20 01:37:41,2021-02-21 11:43:16
56,1,36415,2021-06-27 02:48:01,None
57,1,48143,2021-03-12 00:16:14,2021-06-24 10:51:01
58,1,33915,2021-01-10 14:50:10,2021-03-03 09:50:16
59,1,36451,2021-04-17 17:56:44,2021-05-17 09:34:36
60,1,14869,2021-02-22 01:28:25,2021-06-24 10:50:36
61,1,36380,2021-02-11 09:38:28,2021-03-22 09:39:50
62,1,10630,2021-02-20 01:31:52,2021-03-01 19:35:31
63,1,24951,2021-04-09 15:38:34,2021-04-09 15:49:34
64,1,16270,2021-02-08 14:59:06,2021-02-08 15:11:06
65,1,31641,2021-04-04 19:42:35,2021-04-07 11:50:49
66,1,36021,2021-02-13 02:48:08,2021-06-20 10:55:29
67,1,28357,None,None
68,1,29432,2021-02-04 00:33:03,2021-02-17 10:43:51
69,1,44989,2021-01-09 02:05:19,2021-01-22 19:31:32
70,1,23526,2021-01-10 14:53:44,2021-06-24 10:43:16
71,1,39991,2021-01-17 17:51:03,2021-01-17 18:11:03
72,1,35417,2021-04-03 12:54:53,2021-05-17 09:38:35
73,1,30933,2021-01-17 17:51:27,2021-01-30 16:50:16
74,1,24996,2021-03-01 10:45:08,2021-04-06 14:57:05
75,1,26736,2021-06-11 00:51:11,None
76,1,25941,None,None
77,1,44396,None,None
78,1,29156,None,None
79,1,38228,2021-04-02 02:52:27,2021-06-02 09:59:28
80,1,39782,2021-01-21 00:54:26,None
81,1,37156,2021-03-26 00:17:03,2021-04-06 14:47:18
82,1,42874,2021-03-04 19:33:11,2021-04-07 11:41:08
83,1,13756,2021-02-06 01:29:22,2021-03-09 15:36:33
84,1,14840,None,None
85,1,44971,2021-03-10 20:33:54,2021-05-04 20:43:01
86,1,37023,2021-04-18 02:47:48,2021-05-05 18:43:15
87,1,21622,2021-01-13 18:48:07,2021-02-15 09:42:08
88,1,13800,2021-01-13 18:58:14,2021-06-26 18:50:02
89,1,44178,2021-02-22 13:32:35,2021-05-18 14:46:29
90,1,16512,2021-01-17 17:37:38,2021-01-30 16:51:07
91,1,35878,None,None
92,1,15489,None,None
93,1,20553,None,None
94,1,29721,2021-06-11 00:50:13,None
95,1,37367,None,None
96,1,29968,None,None
97,1,35018,2021-01-21 17:41:27,2021-02-11 12:56:21
